iter	AUC	Logloss
0	0.9377304912	0.6811091429
1	0.9498166442	0.6689028892
2	0.952252388	0.6565946834
3	0.9517444372	0.6446986107
4	0.9590313733	0.6348921174
5	0.9633309841	0.6247302013
6	0.9626594484	0.6138838264
7	0.9613490999	0.6036933364
8	0.9624623358	0.59389802
9	0.962149471	0.5843765356
10	0.9617577791	0.5754015491
11	0.9632352293	0.5659355601
12	0.9630367756	0.558573243
13	0.9647996724	0.5503705262
14	0.9648705721	0.5432985148
15	0.9656855762	0.5365532553
16	0.9657509923	0.5300635077
17	0.9668545127	0.5226322344
18	0.9671181738	0.5144733502
19	0.9680910707	0.5072247936
20	0.9681782126	0.5007480208
21	0.9684690535	0.4937253818
22	0.9688284993	0.4869208852
23	0.968873769	0.4818244011
24	0.970428586	0.4754897197
25	0.9714920819	0.4695402984
26	0.9725658894	0.4636021511
27	0.9722667336	0.457787289
28	0.9726599753	0.4523337297
29	0.9734615386	0.4473797258
30	0.9736916423	0.4424741223
31	0.9743076563	0.4379168468
32	0.9747043252	0.4325104732
33	0.9746420681	0.4287612818
34	0.9747295976	0.4244010585
35	0.9750354588	0.419398654
36	0.9754032195	0.4143660236
37	0.9762420356	0.4091787642
38	0.9769379199	0.4044649647
39	0.9769133627	0.4005375516
40	0.9774155021	0.3964627989
41	0.9776708782	0.392384353
42	0.9778481424	0.3885055834
43	0.9779080451	0.3854821078
44	0.9784181714	0.381591967
45	0.9786368906	0.377835948
46	0.978490144	0.3754804818
47	0.9785849452	0.3718943262
48	0.9787760377	0.3689735558
49	0.9794005156	0.3653569313
50	0.9795291424	0.3623223517
51	0.9796816111	0.3593373876
52	0.9801253676	0.3559811829
53	0.9801898003	0.3524267598
54	0.9805196822	0.3488351615
55	0.980742991	0.3458880285
56	0.981216073	0.3428147917
57	0.9811709523	0.340891261
58	0.9816271365	0.3372371212
59	0.9817997813	0.3346838496
60	0.9820208549	0.3315138361
61	0.9821720123	0.3287514851
62	0.9824491739	0.3257920575
63	0.9825764	0.3232859958
64	0.9827002287	0.3209436988
65	0.9829026759	0.3179404872
66	0.9832015336	0.315619572
67	0.9833659232	0.3131085536
68	0.9836065769	0.310504476
69	0.9837263823	0.3080168803
70	0.9838910103	0.305625138
71	0.9841281176	0.3031491808
72	0.9842924476	0.3007215512
73	0.9844931662	0.2983844295
74	0.9846060276	0.2963201924
75	0.9846358895	0.2942004842
76	0.9847935438	0.2920995579
77	0.985014528	0.2900000651
78	0.9850914478	0.2883538653
79	0.9852061272	0.286494577
80	0.9852747619	0.2847983488
81	0.985319376	0.2829524727
82	0.9854677618	0.2809872961
83	0.9855693877	0.2791329888
84	0.985716939	0.2773096607
85	0.9857771993	0.2758077148
86	0.985866636	0.2741789119
87	0.9859827161	0.2725952294
88	0.9860900044	0.2706574847
89	0.9861551225	0.2694131888
90	0.9862836301	0.2678554802
91	0.9863654375	0.2665965572
92	0.9864749312	0.2651096271
