iter	Passed	Remaining
0	601	6010755
1	1196	5979033
2	1754	5847636
3	2317	5790616
4	2872	5742203
5	3424	5703867
6	3990	5696298
7	4574	5713448
8	5140	5706827
9	5694	5688387
10	6257	5682019
11	6855	5706134
12	7403	5687287
13	8016	5718048
14	8584	5714175
15	9176	5725855
16	9730	5714174
17	10314	5720065
18	10885	5718145
19	11480	5728875
20	12039	5721128
21	12624	5725756
22	13186	5720212
23	13733	5708518
24	14303	5707233
25	14853	5698069
26	15428	5698871
27	15999	5698273
28	16574	5698756
29	17133	5693953
30	17687	5688044
31	18281	5694675
32	18873	5700310
33	19441	5698727
34	20141	5734529
35	20707	5731325
36	21297	5734656
37	21868	5732990
38	22439	5731317
39	22997	5726462
40	23538	5717550
41	24088	5711270
42	24627	5702701
43	25173	5696019
44	25724	5690941
45	26281	5686990
46	26666	5647047
47	27248	5649533
48	27924	5670950
49	28584	5688322
50	29210	5698273
51	29846	5709885
52	30403	5706083
53	30958	5702143
54	31552	5705270
55	32191	5716250
56	32959	5749372
57	33766	5788024
58	34459	5806075
59	35217	5834365
60	35906	5850476
61	36492	5849350
62	37300	5883451
63	37931	5888857
64	38606	5900900
65	39330	5919908
66	40308	5975881
67	42645	6228763
68	44001	6332988
69	44728	6344987
70	45341	6340798
71	46006	6343804
72	46588	6335344
73	47169	6327131
74	48015	6353997
75	48693	6358336
76	50134	6460877
77	51363	6533721
78	52700	6618253
79	53952	6690138
80	54595	6685591
81	55260	6683828
82	56058	6697963
83	57451	6782035
84	59281	6914985
85	62163	7166126
86	65457	7458377
87	66760	7519650
88	68047	7577777
89	69565	7659917
90	70760	7705081
91	71546	7705296
92	72289	7700802
